Sn,Sex,District Code,School,Weight,Program,University ,Intake Year
781,M,41,"KINAAWA HIGH SCHOOL, MUGONGO",50.6,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
782,M,32,MENGO SECONDARY SCHOOL,50.4,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
783,M,133,IBANDA SECONDARY SCHOOL,50.3,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
784,M,16,MENGO SECONDARY SCHOOL,50.3,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
785,M,16,KASUBI S.S.,50.1,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
786,M,16,NDEJJE SECONDARY SCHOOL,50,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
787,M,65,"ST HENRY'S COLLEGE, KITOVU",49.9,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
788,M,130,"MANDELA S S, HOIMA",49.8,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
789,F,16,"KING'S COLLEGE, BUDO",49.3,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
790,F,55,MENGO SECONDARY SCHOOL,49.2,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
791,F,85,MPOMA SCHOOL,48.5,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
792,F,19,IMMACULATE HEART GIRLS SCHOOL,48.1,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
793,F,36,SEETA HIGH SCHOOL,48,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
794,F,11,WANYANGE GIRLS  SCHOOL,48,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
795,F,64,SEETA HIGH SCHOOL,47.9,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
796,F,55,"STANDARD HIGH SCHOOL, KAMPALA",47.9,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
797,F,6,IMMACULATE HEART GIRLS SCHOOL,47.9,Bachelor Of Science In Land Surveying And Geomatics,MAK,2024/25
798,F,55,GAYAZA HIGH SCHOOL,54.4,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
799,M,81,"ST MARY'S COLLEGE, KISUBI",53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
800,M,101,KAWEMPE MUSLIM SS,53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
801,M,40,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
802,M,16,ST MARY'S SS  KITENDE,53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
803,M,33,"ST MARY'S COLLEGE, KISUBI",53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
804,M,16,JANAN S.S,53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
805,M,37,"UGANDA MARTYRS S.S., NAMUGONGO",53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
806,M,10,SEETA HIGH SCHOOL,53,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
807,M,45,GOMBE SECONDARY SCHOOL,52.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
808,M,50,KYADONDO SS,52.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
809,M,120,ST. JUDE  SECONDARY SCHOOL MASAKA,52.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
810,M,103,SEETA HIGH SCHOOL,52.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
811,M,40,PRIDE COLLEGE SCHOOL MPIGI,52.8,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
812,M,55,KYAMBOGO COLLEGE SCHOOL,52.8,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
813,M,67,"ST.MARY'S COLLEGE, LUGAZI",52.8,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
814,M,16,KAWEMPE MUSLIM SS,52.6,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
815,M,100,ST.BALIKUDEMBE S.S.S. KISOGA,52.6,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
816,F,33,"ST.JOSEPH'S S S, NAGGALAMA",51.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
817,F,16,SEETA HIGH SCHOOL,51.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
818,F,7,GOMBE SECONDARY SCHOOL,51.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
819,F,16,IMMACULATE HEART GIRLS SCHOOL,51.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
820,F,16,"SEETA H/S GREEN CAMPUS, MUKONO",51.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
821,F,21,ST MARY'S SS  KITENDE,51.4,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
822,F,16,NABISUNSA GIRLS' SCHOOL,51.4,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
823,F,42,ST MARY'S SS  KITENDE,51.4,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
824,F,120,"NAALYA SEC. SCHOOL ,KAMPALA",51.4,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
825,F,3,"STANDARD HIGH SCHOOL, KAMPALA",51.4,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
826,F,8,"UGANDA MARTYRS S.S., NAMUGONGO",51.3,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
827,F,94,ST MARY'S SS  KITENDE,51.3,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
828,F,55,"UGANDA MARTYRS S.S., NAMUGONGO",51.3,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
829,F,37,BWERANYANGI GIRLS' SCHOOL,51.2,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
830,F,16,"KING'S COLLEGE, BUDO",51.2,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
831,F,16,GAYAZA HIGH SCHOOL,51.2,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
832,F,31,"ST.JOSEPH'S S S, NAGGALAMA",51.1,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
833,F,42,"ST.JOSEPH'S S S, NAGGALAMA",51,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
834,M,42,"ST MARY'S COLLEGE, KISUBI",50.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
835,M,42,"ST MARY'S COLLEGE, KISUBI",50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
836,M,34,GOMBE SECONDARY SCHOOL,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
837,M,112,NAMILYANGO COLLEGE,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
838,M,98,BP CYPRIAN KIHANGIRE SS LUZIRA,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
839,M,55,ST. MARK'S SS NAMAGOMA,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
840,M,25,BUDDO SEC. SCHOOL,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
841,M,115,"ST.ANDREA KAHWA'S COL., HOIMA",50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
842,M,41,"ST MARY'S COLLEGE, KISUBI",50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
843,M,30,ST MARY'S SS  KITENDE,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
844,M,34,GOMBE SECONDARY SCHOOL,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
845,M,23,NAMILYANGO COLLEGE,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
846,M,52,HILTON HIGH SCHOOL,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
847,M,16,"UGANDA MARTYRS S.S., NAMUGONGO",50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
848,M,46,NTARE SCHOOL,50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
849,M,78,"KING'S COLLEGE, BUDO",50,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
850,M,37,MERRYLAND  HIGH SCHOOL,49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
851,M,26,"ST.ANDREA KAHWA'S COL., HOIMA",49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
852,M,133,NTARE SCHOOL,49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
853,M,53,"KING'S COLLEGE, BUDO",49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
854,M,42,"ST.JOSEPH'S S S, NAGGALAMA",49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
855,M,16,"UGANDA MARTYRS S.S., NAMUGONGO",49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
856,M,113,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
857,M,65,CITIZEN'S SECONDARY SCHOOL,49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
858,M,94,"ST.ANDREA KAHWA'S COL., HOIMA",49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
859,M,55,KIBULI SECONDARY SCHOOL,49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
860,M,109,"ST.ANDREA KAHWA'S COL., HOIMA",49.9,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
861,F,68,MERRYLAND  HIGH SCHOOL,49.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
862,F,37,MARYHILL HIGH SCHOOL,49.2,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
863,F,33,"MT.ST.MARY'S, NAMAGUNGA",48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
864,F,65,MARYHILL HIGH SCHOOL,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
865,F,55,NABISUNSA GIRLS' SCHOOL,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
866,F,26,ST MARY'S SS  KITENDE,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
867,F,33,"UGANDA MARTYRS S.S., NAMUGONGO",48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
868,F,42,"BISHOP'S SEC. SCHOOL, MUKONO",48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
869,F,42,SEETA HIGH SCHOOL,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
870,F,112,MARYHILL HIGH SCHOOL,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
871,F,131,MARYHILL HIGH SCHOOL,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
872,F,16,"KING'S COLLEGE, BUDO",48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
873,F,42,HILTON HIGH SCHOOL,48.5,Bachelor Of Medicine And Bachelor Of Surgery,MAK,2024/25
874,F,9,"MT.ST.MARY'S, NAMAGUNGA",54.5,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
875,F,67,AMUS COLLEGE SCHOOL,53.4,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
876,M,55,"UGANDA MARTYRS S.S., NAMUGONGO",52.7,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
877,M,36,NYONDO S S,52.7,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
878,M,16,"KING'S COLLEGE, BUDO",52.6,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
879,M,16,MENGO SECONDARY SCHOOL,52.6,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
880,M,55,KITENDE S S,52.5,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
881,F,55,"MT.ST.MARY'S, NAMAGUNGA",52.4,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
882,M,55,NTARE SCHOOL,52.4,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
883,M,55,MENGO SECONDARY SCHOOL,52.3,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
884,F,65,NTARE SCHOOL,52.3,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
885,M,112,"SACRED HEART SS, MUSHANGA",52.2,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
886,M,55,MENGO SECONDARY SCHOOL,52.2,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
887,F,15,GAYAZA HIGH SCHOOL,52,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
888,M,55,MENGO SECONDARY SCHOOL,51.7,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
889,F,69,ST MARY'S SS  KITENDE,51.2,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
890,M,16,"ST MARY'S COLLEGE, KISUBI",51,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
891,M,55,"KING'S COLLEGE, BUDO",51,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
892,M,77,ST MARY'S SS  KITENDE,51,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
893,M,42,"UGANDA MARTYRS S.S., NAMUGONGO",50.9,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
894,M,55,NDEJJE SECONDARY SCHOOL,50.9,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
895,M,32,"KATIKAMU SEC. SCH., WOBULENZI",50.8,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
896,M,55,MENGO SECONDARY SCHOOL,50.8,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
897,M,42,"KING'S COLLEGE, BUDO",50.8,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
898,F,26,IMMACULATE HEART GIRLS SCHOOL,50.7,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
899,M,34,"ST MARY'S COLLEGE, KISUBI",50.7,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
900,M,55,"KING'S COLLEGE, BUDO",50.6,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
901,M,50,MENGO SECONDARY SCHOOL,50.6,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
902,M,33,MENGO SECONDARY SCHOOL,50.6,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
903,M,55,KISUBI MAPEERA S S,50.6,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
904,F,4,"SEETA H/S GREEN CAMPUS, MUKONO",49.4,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
905,F,16,"KING'S COLLEGE, BUDO",49.3,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
906,F,16,GAYAZA HIGH SCHOOL,49.3,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
907,F,6,MARYHILL HIGH SCHOOL,49,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
908,F,6,IMMACULATE HEART GIRLS SCHOOL,48.9,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
909,F,42,"UGANDA MARTYRS S.S., NAMUGONGO",48.5,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
910,F,16,"UGANDA MARTYRS S.S., NAMUGONGO",48.5,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
911,F,16,"MT.ST.MARY'S, NAMAGUNGA",48.2,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
912,F,16,SEETA HIGH SCHOOL,48.1,Bachelor Of Science In Mechanical Engineering,MAK,2024/25
913,M,86,MENGO SECONDARY SCHOOL,46.9,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
914,M,26,"UGANDA MARTYRS S.S., NAMUGONGO",46.9,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
915,M,101,BLESSED SACREMENT SS  KIMAANYA,46.9,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
916,M,56,KAJJANSI PROGRESSIVE S.S,46.9,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
917,M,55,ST. MARK'S SS NAMAGOMA,46.9,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
918,F,55,"KING'S COLLEGE, BUDO",45.5,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
919,F,11,IGANGA SECONDARY SCHOOL,45.4,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
920,F,53,"UGANDA MARTYRS S.S., NAMUGONGO",45.3,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
921,F,55,GOMBE SECONDARY SCHOOL,45.2,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
922,F,37,MARYHILL HIGH SCHOOL,45.2,Bachelor Of Biomedical Laboratory Technology,MAK,2024/25
923,M,8,"MANDELA S S, HOIMA",51.7,Bachelor Of Arts In Music,MAK,2024/25
924,F,19,"KINKIIZI SECONDARY SCHOOL, NYAKATARE",51,Bachelor Of Arts In Music,MAK,2024/25
925,M,16,"ST.JOSEPH'S S S, NAGGALAMA",50.3,Bachelor Of Arts In Music,MAK,2024/25
926,M,85,UGANDA MARTYRS CENTENARY SS,50.2,Bachelor Of Arts In Music,MAK,2024/25
927,M,49,"ST. BERNARD'S SS, MANNYA",50.2,Bachelor Of Arts In Music,MAK,2024/25
928,M,120,"ST. BERNARD'S SS, MANNYA",50.1,Bachelor Of Arts In Music,MAK,2024/25
929,M,16,"UPHILL COLLEGE, MBUYA",50.1,Bachelor Of Arts In Music,MAK,2024/25
930,F,85,"ST.JOSEPH'S S S, NAGGALAMA",50.1,Bachelor Of Arts In Music,MAK,2024/25
931,F,55,KISOZI HIGH SCHOOL,49.9,Bachelor Of Arts In Music,MAK,2024/25
932,F,16,OURLADY OF AFRICA SS NAMILYANGO,49.8,Bachelor Of Arts In Music,MAK,2024/25
933,M,36,"MT.ZION HIGH SCHOOL,IGANGA",49.8,Bachelor Of Arts In Music,MAK,2024/25
934,F,12,CHRIST THE KING GIRLS  S.S,49.8,Bachelor Of Arts In Music,MAK,2024/25
935,M,55,CRANE HIGH SCHOOL,47,Bachelor Of Science In Nursing,MAK,2024/25
936,M,69,STANDARD COLLEGE NTUNGAMO,46.8,Bachelor Of Science In Nursing,MAK,2024/25
937,M,5,ST.BALIKUDEMBE S.S.S. KISOGA,46.8,Bachelor Of Science In Nursing,MAK,2024/25
938,M,72,MERRYLAND  HIGH SCHOOL,46.6,Bachelor Of Science In Nursing,MAK,2024/25
939,M,55,KISUBI SEMINARY,46.6,Bachelor Of Science In Nursing,MAK,2024/25
940,M,20,NAMILYANGO COLLEGE,46.6,Bachelor Of Science In Nursing,MAK,2024/25
941,F,120,ST MARY'S SS  KITENDE,45.9,Bachelor Of Science In Nursing,MAK,2024/25
942,F,55,SEETA HIGH SCHOOL,45.5,Bachelor Of Science In Nursing,MAK,2024/25
943,F,55,ST MARY'S SS  KITENDE,45.4,Bachelor Of Science In Nursing,MAK,2024/25
944,F,75,MITYANA MODERN SS,45.4,Bachelor Of Science In Nursing,MAK,2024/25
945,F,54,KITENDE S S,51.5,Bachelor Of Pharmacy,MAK,2024/25
946,M,55,ST. MARK'S SS NAMAGOMA,50,Bachelor Of Pharmacy,MAK,2024/25
947,M,55,KAWEMPE MUSLIM SS,49.9,Bachelor Of Pharmacy,MAK,2024/25
948,M,50,PLUS TWO HIGH SCHOOL,49.8,Bachelor Of Pharmacy,MAK,2024/25
949,M,55,ST. MARK'S SS NAMAGOMA,49.6,Bachelor Of Pharmacy,MAK,2024/25
950,F,42,"UGANDA MARTYRS S.S., NAMUGONGO",48.4,Bachelor Of Pharmacy,MAK,2024/25
951,F,120,GAYAZA HIGH SCHOOL,48.4,Bachelor Of Pharmacy,MAK,2024/25
952,M,55,MAKERERE COLLEGE SCHOOL,48.3,Bachelor Of Pharmacy,MAK,2024/25
953,F,16,GAYAZA ROAD TRIANGLE  S.S,48.1,Bachelor Of Pharmacy,MAK,2024/25
954,F,55,MENGO SECONDARY SCHOOL,48.1,Bachelor Of Pharmacy,MAK,2024/25
955,F,55,ST MARY'S SS  KITENDE,48,Bachelor Of Pharmacy,MAK,2024/25
956,M,26,NAMILYANGO COLLEGE,48,Bachelor Of Pharmacy,MAK,2024/25
957,F,55,MENGO SECONDARY SCHOOL,47.8,Bachelor Of Pharmacy,MAK,2024/25
958,F,13,GOMBE SECONDARY SCHOOL,47.7,Bachelor Of Pharmacy,MAK,2024/25
959,M,65,CITIZEN'S SECONDARY SCHOOL,47,Bachelor Of Pharmacy,MAK,2024/25
960,M,42,"UGANDA MARTYRS S.S., NAMUGONGO",47,Bachelor Of Pharmacy,MAK,2024/25
961,M,11,"ST MARY'S COLLEGE, KISUBI",47,Bachelor Of Pharmacy,MAK,2024/25
962,M,42,OURLADY OF AFRICA SS NAMILYANGO,47,Bachelor Of Pharmacy,MAK,2024/25
963,M,36,"UGANDA MARTYRS S.S., NAMUGONGO",47,Bachelor Of Pharmacy,MAK,2024/25
964,M,55,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,44.9,Bachelor Of Science In Actuarial Science,MAK,2024/25
965,M,55,LIGHT ACADEMY SECONDARY SCHOOL,44.6,Bachelor Of Science In Actuarial Science,MAK,2024/25
966,F,55,"UGANDA MARTYRS S.S., NAMUGONGO",44.5,Bachelor Of Science In Actuarial Science,MAK,2024/25
967,M,42,MT. ST. HENRY'S HIGH SCHOOL,44.2,Bachelor Of Science In Actuarial Science,MAK,2024/25
968,F,18,IMMACULATE HEART GIRLS SCHOOL,43.9,Bachelor Of Science In Actuarial Science,MAK,2024/25
969,F,55,MENGO SECONDARY SCHOOL ANNEX,43.9,Bachelor Of Science In Actuarial Science,MAK,2024/25
970,F,55,MENGO SECONDARY SCHOOL ANNEX,43.8,Bachelor Of Science In Actuarial Science,MAK,2024/25
971,F,32,MENGO SECONDARY SCHOOL,43.6,Bachelor Of Science In Actuarial Science,MAK,2024/25
972,F,12,"ST.MARY'S COLLEGE, RUSHOROZA",43.5,Bachelor Of Science In Actuarial Science,MAK,2024/25
973,M,10,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,43,Bachelor Of Science In Actuarial Science,MAK,2024/25
974,F,55,"TRINITY COLLEGE, NABBINGO",43,Bachelor Of Science In Actuarial Science,MAK,2024/25
975,F,110,IMMACULATE HEART GIRLS SCHOOL,43,Bachelor Of Science In Actuarial Science,MAK,2024/25
976,F,55,GOMBE SECONDARY SCHOOL,43,Bachelor Of Science In Actuarial Science,MAK,2024/25
977,M,16,NAALYA SSS,42.9,Bachelor Of Science In Actuarial Science,MAK,2024/25
978,M,55,"ST MARY'S COLLEGE, KISUBI",42.6,Bachelor Of Science In Actuarial Science,MAK,2024/25
979,M,69,KALINABIRI SEC. SCHOOL,46.2,Bachelor Of Science (Biological),MAK,2024/25
980,M,7,GOMBE SECONDARY SCHOOL,44.9,Bachelor Of Science (Biological),MAK,2024/25
981,M,12,"ST.MARY'S COLLEGE, RUSHOROZA",44.4,Bachelor Of Science (Biological),MAK,2024/25
982,M,123,ST MARY'S SS  KITENDE,44,Bachelor Of Science (Biological),MAK,2024/25
983,M,32,"UGANDA MARTYRS S.S., NAMUGONGO",43.7,Bachelor Of Science (Biological),MAK,2024/25
984,M,23,ST MARY'S SS  KITENDE,43.7,Bachelor Of Science (Biological),MAK,2024/25
985,M,82,ST MARY'S SS  KITENDE,43.6,Bachelor Of Science (Biological),MAK,2024/25
986,M,42,ST. JOHN'S COLLEGE MPIGI,43.6,Bachelor Of Science (Biological),MAK,2024/25
987,M,55,BULOBA HIGH SCHOOL,43.6,Bachelor Of Science (Biological),MAK,2024/25
988,M,5,BP CYPRIAN KIHANGIRE SS LUZIRA,43.6,Bachelor Of Science (Biological),MAK,2024/25
989,F,77,"UGANDA MARTYRS S.S., NAMUGONGO",42.5,Bachelor Of Science (Biological),MAK,2024/25
990,F,16,ST MARY'S SS  KITENDE,42.4,Bachelor Of Science (Biological),MAK,2024/25
991,F,33,"ST.THEREZA'S GIRLS' SS,BWANDA",42.3,Bachelor Of Science (Biological),MAK,2024/25
992,F,93,GAYAZA HIGH SCHOOL,42.3,Bachelor Of Science (Biological),MAK,2024/25
993,F,55,ST MARY'S SS  KITENDE,42.1,Bachelor Of Science (Biological),MAK,2024/25
994,F,115,MENGO SECONDARY SCHOOL,42,Bachelor Of Science (Biological),MAK,2024/25
995,M,85,"ST MARY'S COLLEGE, KISUBI",50,Bachelor Of Science (Physical),MAK,2024/25
996,M,55,"NAALYA SEC. SCHOOL ,KAMPALA",49,Bachelor Of Science (Physical),MAK,2024/25
997,M,55,MAKERERE COLLEGE SCHOOL,48.3,Bachelor Of Science (Physical),MAK,2024/25
998,M,55,UGANDA MARTYRS VOCATIONAL SECONDARY SCHOOL,47.6,Bachelor Of Science (Physical),MAK,2024/25
999,M,131,CITIZEN'S SECONDARY SCHOOL,47.3,Bachelor Of Science (Physical),MAK,2024/25
1000,F,75,"ST.FRANCIS SS, BUSUNJU",47,Bachelor Of Science (Physical),MAK,2024/25
1001,M,78,MBALE SECONDARY SCHOOL,46,Bachelor Of Science (Physical),MAK,2024/25
1002,F,55,ST MARY'S SS  KITENDE,46,Bachelor Of Science (Physical),MAK,2024/25
1003,M,46,NTUNGAMO HIGH SCHOOL,45.7,Bachelor Of Science (Physical),MAK,2024/25
1004,M,55,ST MARY'S SS  KITENDE,45.7,Bachelor Of Science (Physical),MAK,2024/25
1005,F,26,ST MARY'S SS  KITENDE,44.9,Bachelor Of Science (Physical),MAK,2024/25
1006,F,79,ST MARY'S SS  KITENDE,43.8,Bachelor Of Science (Physical),MAK,2024/25
1007,F,68,"MANDELA S S, HOIMA",43.3,Bachelor Of Science (Physical),MAK,2024/25
1008,F,14,ST MARY'S SS  KITENDE,43.1,Bachelor Of Science (Physical),MAK,2024/25
1009,F,10,ST MARY'S SS  KITENDE,43.1,Bachelor Of Science (Physical),MAK,2024/25
1010,M,16,ST MARY'S SS  KITENDE,50.2,Bachelor Of Science (Economics),MAK,2024/25
1011,F,16,"UGANDA MARTYRS S.S., NAMUGONGO",49.1,Bachelor Of Science (Economics),MAK,2024/25
1012,F,41,"CENTRAL COLLEGE, MITYANA",48.9,Bachelor Of Science (Economics),MAK,2024/25
1013,M,53,ST MARY'S SS  KITENDE,48.6,Bachelor Of Science (Economics),MAK,2024/25
1014,M,16,ST MARY'S SS  KITENDE,48.2,Bachelor Of Science (Economics),MAK,2024/25
1015,F,55,ST MARY'S SS  KITENDE,46.7,Bachelor Of Science (Economics),MAK,2024/25
1016,F,16,"MARIAM HIGH SCHOOL, KAMPALA",46.5,Bachelor Of Science (Economics),MAK,2024/25
1017,M,33,"UGANDA MARTYRS S.S., NAMUGONGO",45.9,Bachelor Of Science (Economics),MAK,2024/25
1018,F,69,BWERANYANGI GIRLS' SCHOOL,53.8,Bachelor Of Social Work,MAK,2024/25
1019,F,80,BP CYPRIAN KIHANGIRE SS LUZIRA,53.8,Bachelor Of Social Work,MAK,2024/25
1020,F,123,BWERANYANGI GIRLS' SCHOOL,53.6,Bachelor Of Social Work,MAK,2024/25
1021,F,5,"CORNERSTONE LEADERSHIP ACADEMY, MATUGGA",53.4,Bachelor Of Social Work,MAK,2024/25
1022,F,55,MAKERERE COLLEGE SCHOOL,53.4,Bachelor Of Social Work,MAK,2024/25
1023,F,8,GOMBE SECONDARY SCHOOL,53.4,Bachelor Of Social Work,MAK,2024/25
